year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2017,BOS,"$173,704,598 ","$5,790,153 ","$1,975,000 ",93,"$1,867,791.38 ",no
2017,CHC,"$168,263,502 ","$6,730,540 ","$3,500,000 ",92,"$1,828,951.11 ",no
2017,CHW,"$109,301,167 ","$4,048,191 ","$900,000 ",67,"$1,631,360.70 ",no
2017,CIN,"$81,840,785 ","$2,728,026 ","$571,000 ",68,"$1,203,540.96 ",no
2017,CLE,"$115,999,500 ","$4,296,278 ","$3,400,000 ",102,"$1,137,250.00 ",no
2017,COL,"$101,709,904 ","$3,280,965 ","$545,000 ",87,"$1,169,079.36 ",no
2017,DET,"$180,250,600 ","$6,932,715 ","$1,650,000 ",64,"$2,816,415.63 ",no
2017,HOU,"$127,443,900 ","$4,720,144 ","$3,725,000 ",101,"$1,261,820.79 ",yes
2017,KCR,"$134,425,249 ","$4,800,902 ","$4,000,000 ",80,"$1,680,315.61 ",no
2017,LAA,"$123,549,166 ","$4,412,470 ","$2,000,000 ",80,"$1,544,364.58 ",no
2017,LAD,"$189,394,811 ","$6,530,856 ","$2,800,000 ",104,"$1,821,103.95 ",no
2017,MIA,"$106,784,671 ","$3,954,988 ","$2,500,000 ",77,"$1,386,813.91 ",no
2017,MIL,"$49,143,998 ","$1,965,760 ","$545,700 ",86,"$571,441.84 ",no
2017,MIN,"$94,287,500 ","$3,367,411 ","$586,250 ",85,"$1,109,264.71 ",no
2017,NYM,"$174,491,596 ","$6,231,843 ","$3,525,000 ",70,"$2,492,737.09 ",no
2017,NYY,"$171,746,342 ","$6,360,976 ","$2,290,000 ",91,"$1,887,322.44 ",no
2017,OAK,"$69,636,667 ","$2,401,264 ","$575,000 ",75,"$928,488.89 ",no
2017,PHI,"$86,513,378 ","$3,604,724 ","$955,000 ",66,"$1,310,808.76 ",no
2017,PIT,"$96,133,666 ","$3,697,449 ","$2,993,750 ",75,"$1,281,782.21 ",no
2017,SDP,"$32,128,066 ","$1,189,928 ","$546,200 ",71,"$452,507.97 ",no
2017,SEA,"$142,207,720 ","$4,740,257 ","$1,212,500 ",64,"$2,221,995.63 ",no
2017,SFG,"$156,531,277 ","$5,797,455 ","$2,000,000 ",78,"$2,006,811.24 ",no
2017,STL,"$131,669,599 ","$4,702,486 ","$2,725,000 ",83,"$1,586,380.71 ",no
2017,TBR,"$68,296,366 ","$2,203,109 ","$1,300,000 ",80,"$853,704.58 ",no
2017,TEX,"$172,848,063 ","$5,237,820 ","$1,833,333 ",78,"$2,216,000.81 ",no
2017,TOR,"$122,796,238 ","$4,722,932 ","$2,068,750 ",76,"$1,615,739.97 ",no
2017,WAS,"$163,375,489 ","$6,283,673 ","$4,000,000 ",97,"$1,684,283.39 ",no
2016,ARI,"$79,423,163 ","$3,309,298 ","$1,387,500 ",69,"$1,151,060.33 ",no
2016,ATL,"$60,352,791 ","$2,321,261 ","$948,750 ",68,"$887,541.04 ",no
2016,BAL,"$139,179,070 ","$4,970,681 ","$2,700,000 ",89,"$1,563,809.78 ",no
2016,BOS,"$160,606,261 ","$6,177,164 ","$950,000 ",93,"$1,726,949.04 ",no
2016,CHC,"$172,855,456 ","$5,761,849 ","$3,083,333 ",103,"$1,678,208.31 ",yes
2016,CHW,"$109,173,667 ","$4,548,903 ","$2,750,000 ",78,"$1,399,662.40 ",no
2016,CIN,"$89,955,059 ","$2,901,776 ","$525,000 ",68,"$1,322,868.51 ",no
2016,CLE,"$60,928,567 ","$2,538,690 ","$1,848,750 ",94,"$648,176.24 ",no
2016,COL,"$85,645,071 ","$2,762,744 ","$1,000,000 ",75,"$1,141,934.28 ",no
2016,DET,"$180,855,981 ","$6,459,142 ","$737,500 ",86,"$2,102,976.52 ",no
2016,HOU,"$91,893,700 ","$3,281,918 ","$875,000 ",84,"$1,093,972.62 ",no
2016,KCR,"$112,620,458 ","$4,504,818 ","$4,225,000 ",81,"$1,390,376.02 ",no
2016,LAA,"$129,251,333 ","$5,170,053 ","$1,500,000 ",74,"$1,746,639.64 ",no
2016,LAD,"$188,473,380 ","$6,282,446 ","$3,562,500 ",91,"$2,071,136.04 ",no
2016,MIA,"$69,743,071 ","$2,583,077 ","$1,350,000 ",79,"$882,823.68 ",no
2016,MIL,"$57,073,313 ","$1,902,444 ","$516,150 ",73,"$781,826.21 ",no
2016,MIN,"$96,283,200 ","$4,186,226 ","$1,475,000 ",59,"$1,631,918.64 ",no
2016,NYM,"$132,926,379 ","$5,317,055 ","$4,000,000 ",87,"$1,527,889.41 ",no
2016,NYY,"$203,354,935 ","$7,262,676 ","$3,650,000 ",84,"$2,420,892.08 ",no
2016,OAK,"$75,876,234 ","$2,616,422 ","$1,500,000 ",69,"$1,099,655.57 ",no
2016,PHI,"$45,462,000 ","$1,683,778 ","$525,000 ",71,"$640,309.86 ",no
2016,PIT,"$101,249,666 ","$3,894,218 ","$3,000,000 ",78,"$1,298,072.64 ",no
2016,SDP,"$89,995,814 ","$4,090,719 ","$1,175,000 ",68,"$1,323,467.85 ",no
2016,SEA,"$123,457,243 ","$4,748,356 ","$1,300,000 ",87,"$1,419,048.77 ",no
2016,SFG,"$147,841,277 ","$6,720,058 ","$6,100,000 ",86,"$1,719,084.62 ",no
2016,STL,"$123,128,499 ","$4,397,446 ","$1,475,000 ",86,"$1,431,726.73 ",no
2016,TBR,"$56,616,076 ","$2,096,892 ","$895,000 ",68,"$832,589.35 ",no
2016,TEX,"$127,955,390 ","$4,739,089 ","$1,500,000 ",95,"$1,346,898.84 ",no
2016,TOR,"$146,179,900 ","$5,220,711 ","$1,525,000 ",89,"$1,642,470.79 ",no
2016,WAS,"$140,936,678 ","$5,872,362 ","$3,000,000 ",95,"$1,483,543.98 ",no
2015,ARI,"$63,812,833 ","$2,279,030 ","$525,000 ",79,"$807,757.38 ",no
2015,ATL,"$81,247,648 ","$2,901,702 ","$1,083,333 ",67,"$1,212,651.46 ",no
2015,BAL,"$104,378,208 ","$3,727,793 ","$2,575,000 ",81,"$1,288,619.85 ",no
2015,BOS,"$146,494,748 ","$5,634,413 ","$2,125,000 ",78,"$1,878,137.79 ",no
2015,CHC,"$116,265,880 ","$4,306,144 ","$2,525,000 ",97,"$1,198,617.32 ",no
2015,CHW,"$99,302,867 ","$3,546,531 ","$1,325,000 ",76,"$1,306,616.67 ",no
2015,CIN,"$116,732,284 ","$4,323,418 ","$2,350,000 ",64,"$1,823,941.94 ",no
2015,CLE,"$85,985,667 ","$3,307,141 ","$2,095,000 ",81,"$1,061,551.44 ",no
2015,COL,"$98,261,171 ","$3,388,316 ","$1,087,600 ",68,"$1,445,017.22 ",no
2015,DET,"$172,282,250 ","$6,891,290 ","$3,000,000 ",74,"$2,328,138.51 ",no
2015,HOU,"$63,564,200 ","$2,354,230 ","$1,000,000 ",86,"$739,118.60 ",no
2015,KCR,"$106,164,525 ","$4,246,581 ","$2,640,000 ",95,"$1,117,521.32 ",yes
2015,LAA,"$139,449,583 ","$4,980,342 ","$1,231,250 ",85,"$1,640,583.33 ",no
2015,LAD,"$183,985,260 ","$6,814,269 ","$4,833,333 ",92,"$1,999,839.78 ",no
2015,MIA,"$84,816,071 ","$3,141,336 ","$1,925,000 ",71,"$1,194,592.55 ",no
2015,MIL,"$86,473,611 ","$3,458,944 ","$525,500 ",68,"$1,271,670.75 ",no
2015,MIN,"$103,095,000 ","$4,295,625 ","$1,775,000 ",83,"$1,242,108.43 ",no
2015,NYM,"$92,130,203 ","$3,543,469 ","$676,848 ",90,"$1,023,668.92 ",no
2015,NYY,"$192,687,142 ","$6,881,684 ","$2,900,000 ",87,"$2,214,794.74 ",no
2015,OAK,"$69,349,166 ","$2,237,070 ","$517,500 ",68,"$1,019,840.68 ",no
2015,PHI,"$107,540,000 ","$3,840,714 ","$700,000 ",63,"$1,706,984.13 ",no
2015,PIT,"$84,706,665 ","$3,025,238 ","$1,708,333 ",98,"$864,353.72 ",no
2015,SDP,"$121,027,794 ","$4,482,511 ","$1,650,000 ",74,"$1,635,510.73 ",no
2015,SEA,"$115,706,842 ","$4,628,274 ","$2,000,000 ",84,"$1,377,462.40 ",no
2015,SFG,"$142,395,943 ","$5,476,767 ","$4,000,000 ",76,"$1,873,630.83 ",no
2015,STL,"$103,010,290 ","$4,120,412 ","$1,650,000 ",100,"$1,030,102.90 ",no
2015,TBR,"$73,691,251 ","$2,456,375 ","$750,000 ",80,"$921,140.64 ",no
2015,TEX,"$112,824,040 ","$3,760,801 ","$812,500 ",88,"$1,282,091.36 ",no
2015,TOR,"$98,895,700 ","$3,955,828 ","$527,000 ",93,"$1,063,394.62 ",no
2015,WAS,"$165,819,309 ","$5,922,118 ","$3,000,000 ",83,"$1,997,823.00 ",no
2014,ARI,"$102,350,333 ","$3,936,551 ","$2,250,000 ",64,"$1,599,223.95 ",no
