year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2006,TOR,"$71,915,000 ",2663519,2200000,87,826609.2,no
2006,WAS,"$63,143,000 ",2036871,900000,71,889338.03,no
2005,ARI,"$63,329,166 ",2345525,550000,77,822456.7,no
2005,ATL,"$86,457,302 ",3458292,1000000,90,960636.69,no
2005,BAL,"$73,914,333 ",2639798,962500,74,998842.34,no
2005,BOS,"$118,255,125 ",4379819,2750000,95,1244790.79,no
2005,CHC,"$87,032,933 ",3108319,2150000,79,1101682.7,no
2005,CHW,"$75,178,000 ",2784370,2000000,99,759373.74,yes
2005,CIN,"$61,892,583 ",2063086,550000,73,847843.6,no
2005,CLE,"$41,502,500 ",1431121,500000,93,446263.44,no
2005,COL,"$48,155,000 ",1605167,322500,67,718731.34,no
2005,DET,"$68,737,000 ",2545815,1025000,71,968126.76,no
2005,HOU,"$76,779,000 ",2953038,500000,89,862685.39,no
2005,KCR,"$36,881,000 ",1365963,352000,56,658589.29,no
2005,LAA,"$87,575,322 ",3127690,925000,95,921845.49,no
2005,LAD,"$83,039,000 ",2767967,650000,71,1169563.38,no
2005,MIA,"$60,408,834 ",2237364,1100000,83,727817.28,no
2005,MIL,"$39,934,833 ",1597393,420000,81,493022.63,no
2005,MIN,"$56,186,000 ",2080963,750000,83,676939.76,no
2005,NYM,"$101,305,821 ",3752067,1150000,83,1220552.06,no
2005,NYY,"$182,306,817 ",7292273,5666667,95,1919019.13,no
2005,OAK,"$55,425,762 ",2131760,591667,88,629838.2,no
2005,PHI,"$95,522,000 ",3673923,3025000,88,1085477.27,no
2005,PIT,"$38,133,000 ",1361893,368000,67,569149.25,no
2005,SDP,"$63,290,833 ",2260387,825000,82,771839.43,no
2005,SEA,"$87,754,334 ",2742323,800000,75,1170057.79,no
2005,SFG,"$90,199,500 ",3469212,2000000,69,1307239.13,no
2005,STL,"$91,783,333 ",3671333,2333333,100,917833.33,no
2005,TBR,"$29,679,067 ",1023416,600000,67,442971.15,no
2005,TEX,"$55,849,000 ",1801581,650000,79,706949.37,no
2005,TOR,"$45,719,500 ",1758442,525000,80,571493.75,no
2005,WAS,"$48,581,500 ",1619383,628500,81,599771.6,no
2004,ARI,"$69,780,750 ",2406233,500000,51,1368250,no
2004,ATL,"$90,182,500 ",3220804,737500,96,939401.04,no
2004,BAL,"$51,623,333 ",1843690,887500,78,661837.6,no
2004,BOS,"$122,711,000 ",4231414,3000000,98,1252153.06,yes
2004,CHC,"$90,560,000 ",3122759,1550000,89,1017528.09,no
2004,CHW,"$65,212,500 ",2508173,775000,83,785692.77,no
2004,CIN,"$46,615,250 ",1664830,422500,76,613358.55,no
2004,CLE,"$34,319,300 ",1143977,325000,80,428991.25,no
2004,COL,"$65,445,167 ",2337327,575000,68,962428.93,no
2004,DET,"$46,527,000 ",1723222,385000,72,646208.33,no
2004,HOU,"$75,397,000 ",3015880,750000,92,819532.61,no
2004,KCR,"$47,609,000 ",1586967,436250,58,820844.83,no
